id,nom,description,url publique,url API,fichiers,indicateur qualité,qualité,service producteur,nombre réutilisation,tags,groups,territorial coverage,territorial coverage granularity,temporal_coverage_from,temporal_coverage_to,license,revision
les-polices-municipales-par-commune,Les polices municipales par commune,"Le fichier recense pour l'année 2012 les communes de votre département ayant un service de police municipale et contient :

- le nombre de policiers municipaux,
- le nombre d'agents de surveillance de la voie publique,
- le nombre de gardes-champêtres,
- le nombre de centres de supervision urbaine (CSU).

Les polices municipales sont régies par le code général des collectivités territoriales, le code de procédure pénale et le livre V du code de la sécurité intérieure, qui ont défini leur organisation et leur fonctionnement. Placés sous l’autorité des maires, les agents de police municipale disposent de compétences de police administrative et de certaines compétences de police judiciaire définies par la loi, qu’ils exercent sous le contrôle du procureur de la République.



![Explorer Data.gouv.fr](http://i.imgur.com/ssKfqQL.png?2 ""Explorer Data.gouv.fr"")
**Découvrez en bas de cette page les contributions de la communauté data.gouv.fr en lien avec ce jeu de données **

 ",http://www.data.gouv.fr/fr/dataset/les-polices-municipales-par-commune,http://www.data.gouv.fr/api/3/action/package_show?id=les-polices-municipales-par-commune,"Données statistiques relatives aux polices municipales - année 2012
XLS: https://www.data.gouv.fr/storage/f/2014-01-16T18-34-21/police_municipale_donnees_2012%20.xls","",,,5,"2012, communes, dlpaj, polices municipales",territoires-et-transports,Country/FR/FRANCE,commune,2012-01-01,2012-01-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2014-02-17T18:25:59.885624
barometre-du-3eme-trimestre-2011-30379504,Baromètre du 3ème trimestre 2011,"Baromètre des mois de Juillet, Août et Septembre 2011",http://www.data.gouv.fr/fr/dataset/barometre-du-3eme-trimestre-2011-30379504,http://www.data.gouv.fr/api/3/action/package_show?id=barometre-du-3eme-trimestre-2011-30379504,"
PDF: http://static.data.gouv.fr/27/d8dc4dde682514090bded608e2f683242ab8922d9d458a8aa4889e773338d3.pdf","",,,0,"",societe,MetropoleOfCountry/FR/FRANCE METROPOLITAINE,,2011-07-01,2011-10-01,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:52:16.131757
barometre-mensuel-de-l-accidentalite-octobre-2011-30379748,Baromètre mensuel de l'accidentalité : Octobre 2011,"Ce document présente les données de l'accidentalité (accidents corporels, personnes tuées à 30 jours, personnes blessées dont hospitalisées) du mois à partir d'un dispositif de remontées rapides de ces informations assurées en fin de mois par les forces de l'ordre.",http://www.data.gouv.fr/fr/dataset/barometre-mensuel-de-l-accidentalite-octobre-2011-30379748,http://www.data.gouv.fr/api/3/action/package_show?id=barometre-mensuel-de-l-accidentalite-octobre-2011-30379748,"
PDF: http://static.data.gouv.fr/5f/35b2c2b55788d2d31fd63d014857549daf88c6994e271b82bc56597bdc397c.pdf","",,,0,"",societe,Country/FR/FRANCE,,2011-10-01,2011-10-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:47:30.304537
evolution-des-nationalites-des-porteurs-de-faux-documents,Evolution des nationalités des porteurs de faux documents,Immigration irrégulière : La lutte contre les fraudes à l'identité et à la fraude documentaire (Les orientations de la politique de l’immigration),http://www.data.gouv.fr/fr/dataset/evolution-des-nationalites-des-porteurs-de-faux-documents,http://www.data.gouv.fr/api/3/action/package_show?id=evolution-des-nationalites-des-porteurs-de-faux-documents,"
XLS: http://static.data.gouv.fr/d4/3dfe0ee5a23150a0030b9de58cf094f770fe8a4a8bc1ab13db21dc14700d11.xls","",,,0,évolution,"",Country/FR/FRANCE,"",2010-01-01,2011-12-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-12-03T15:22:12.577798
videoprotection-implantation-des-cameras-551635-fork-ce76b5,Vidéoprotection - Implantation des caméras,Implantation des caméras prévues par le plan de vidéoprotection pour Paris (été 2012).200 caméras sont opérationnelles pour la mise en service de la première tranche du projet le 21 décembre 2011. 1105 caméras seront opérationnelles pour la livraison globale du système PVPP prévue à l'été 2012,http://www.data.gouv.fr/fr/dataset/videoprotection-implantation-des-cameras-551635-fork-ce76b5,http://www.data.gouv.fr/api/3/action/package_show?id=videoprotection-implantation-des-cameras-551635-fork-ce76b5,"
shp: http://static.data.gouv.fr/15/d13db394caa77f69785db8a4862a5ad27dd0561e7c80cbf24adfab4e2232e8.zip

Télécharger Vidéoprotection - Implantation des caméras - pdf
: http://static.data.gouv.fr/a1/1f350e1e24f4729035ac5d8d5db4d6aa0e82a1e0d0ffdd0c2566439f411f59.zip","",,,0,"dispositif-de-securite, police, securite-publique, surveillance, videosurveillance","",Country/FR/FRANCE,"",2011-12-21,2012-08-31,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-12-03T15:09:47.591468
elections-europeennes-2009-resultats-571329,Elections européennes 2009 - Résultats,Résultats des élections européennes de 2009 par communes pour les départements 01 à 49,http://www.data.gouv.fr/fr/dataset/elections-europeennes-2009-resultats-571329,http://www.data.gouv.fr/api/3/action/package_show?id=elections-europeennes-2009-resultats-571329,"
XLS: http://static.data.gouv.fr/23/6f086ac5c360ef6670820691b9ec33d03db5c26855491a360646c245b50bca.xls","",,,0,"",societe,Country/FR/FRANCE,,2012-11-23,2012-11-23,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-04T15:09:09.714192
elections-senatoriales-2001-resultats-572098,Elections sénatoriales 2001 – Résultats,"Résultats des élections sénatoriales de 2001, scrutin majoritaire, tours 1 et 2, scrutin proportionnel et liste des élus",http://www.data.gouv.fr/fr/dataset/elections-senatoriales-2001-resultats-572098,http://www.data.gouv.fr/api/3/action/package_show?id=elections-senatoriales-2001-resultats-572098,"
XLS: http://static.data.gouv.fr/47/a29bd3dafe3ce3dd2fe8767e1a41085affa6b24d0059a3089d4881ced64892.xls","",,,0,"",societe,Country/FR/FRANCE,,2001-09-23,2001-09-23,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:49:59.802772
elections-legislatives-2007-resultats-572071,Elections législatives 2007 – Résultats,"Résultats des élections législatives de 2007, tours 1 et 2,  par régions, départements, circonscriptions législatives, cantons et liste des élus à l’issue de l’élection",http://www.data.gouv.fr/fr/dataset/elections-legislatives-2007-resultats-572071,http://www.data.gouv.fr/api/3/action/package_show?id=elections-legislatives-2007-resultats-572071,"
XLS: http://static.data.gouv.fr/21/0c89caeccc170effac852b1ffa2e3b318827fa7b0fd418c92b66ed8f986aef.xls","",,,0,"",societe,Country/FR/FRANCE,,2007-06-10,2007-06-17,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:45:51.619017
elections-legislatives-2007-resultats-572075,Elections législatives 2007 – Résultats,"Résultats des élections législatives de 2007, tour 2,  par communes",http://www.data.gouv.fr/fr/dataset/elections-legislatives-2007-resultats-572075,http://www.data.gouv.fr/api/3/action/package_show?id=elections-legislatives-2007-resultats-572075,"
XLS: http://static.data.gouv.fr/8b/ef74da610af0f2850d5e2917a6ff88d4c6635d5bf6409f8d8b20cea1080fb9.xls","",,,1,"",societe,Country/FR/FRANCE,,2007-06-10,2007-06-17,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-05T09:45:59.468437
elections-senatoriales-1998-resultats-572096,Elections sénatoriales 1998 – Résultats,"Résultats des élections sénatoriales de 1998, scrutin majoritaire, tours 1 et 2, scrutin proportionnel et liste des élus",http://www.data.gouv.fr/fr/dataset/elections-senatoriales-1998-resultats-572096,http://www.data.gouv.fr/api/3/action/package_show?id=elections-senatoriales-1998-resultats-572096,"
XLS: http://static.data.gouv.fr/47/da7da33b9521ab16c8bc28e9d615bd5cac54f7dcc1f8c35e4d5b396c6ab353.xls","",,,0,"",societe,Country/FR/FRANCE,,1998-01-01,1998-01-01,Licence Ouverte / Open Licence / http://www.data.gouv.fr/Licence-Ouverte-Open-Licence,2013-09-04T15:08:52.083572
